direction,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days
SHORT,1993-12-01,1993-12-03,46.41,46.72,-0.668,2
LONG,1993-12-03,1994-03-02,46.72,46.69,-0.0642,89
SHORT,1994-03-02,1994-05-31,46.69,45.81,1.8848,90
LONG,1994-05-31,1994-07-06,45.81,44.73,-2.3576,36
SHORT,1994-07-06,1994-08-08,44.73,45.89,-2.5933,33
LONG,1994-08-08,1994-10-05,45.89,45.39,-1.0896,58
SHORT,1994-10-05,1994-11-04,45.39,46.33,-2.0709,30
LONG,1994-11-04,1994-11-29,46.33,45.66,-1.4461,25
SHORT,1994-11-29,1995-01-13,45.66,46.73,-2.3434,45
LONG,1995-01-13,1996-04-10,46.73,63.0,34.817,453
SHORT,1996-04-10,1996-05-10,63.0,65.38,-3.7778,30
LONG,1996-05-10,1996-07-11,65.38,64.52,-1.3154,62
SHORT,1996-07-11,1996-08-21,64.52,66.59,-3.2083,41
LONG,1996-08-21,1997-04-01,66.59,75.86,13.921,223
SHORT,1997-04-01,1997-05-09,75.86,82.63,-8.9243,38
LONG,1997-05-09,1997-09-04,82.63,93.41,13.0461,118
SHORT,1997-09-04,1997-09-26,93.41,94.47,-1.1348,22
LONG,1997-09-26,1997-11-06,94.47,93.95,-0.5504,41
SHORT,1997-11-06,1997-12-05,93.95,98.94,-5.3113,29
LONG,1997-12-05,1998-01-16,98.94,96.31,-2.6582,42
SHORT,1998-01-16,1998-01-21,96.31,96.94,-0.6541,5
LONG,1998-01-21,1998-06-01,96.94,109.53,12.9874,131
SHORT,1998-06-01,1998-06-29,109.53,114.09,-4.1632,28
LONG,1998-06-29,1998-08-12,114.09,108.69,-4.7331,44
SHORT,1998-08-12,1998-10-29,108.69,109.41,-0.6624,78
LONG,1998-10-29,1999-03-04,109.41,125.03,14.2766,126
SHORT,1999-03-04,1999-03-10,125.03,129.19,-3.3272,6
LONG,1999-03-10,1999-06-03,129.19,130.59,1.0837,85
SHORT,1999-06-03,1999-07-06,130.59,139.38,-6.731,33
LONG,1999-07-06,1999-08-11,139.38,130.22,-6.572,36
SHORT,1999-08-11,1999-11-10,130.22,137.72,-5.7595,91
LONG,1999-11-10,2000-01-31,137.72,139.56,1.336,82
SHORT,2000-01-31,2000-02-03,139.56,143.19,-2.601,3
LONG,2000-02-03,2000-02-08,143.19,144.31,0.7822,5
SHORT,2000-02-08,2000-03-23,144.31,152.66,-5.7862,44
LONG,2000-03-23,2000-05-08,152.66,142.45,-6.6881,46
SHORT,2000-05-08,2000-06-19,142.45,148.47,-4.226,42
LONG,2000-06-19,2000-08-11,148.47,147.41,-0.7139,53
SHORT,2000-08-11,2000-08-24,147.41,151.31,-2.6457,13
LONG,2000-08-24,2000-09-27,151.31,143.16,-5.3863,34
SHORT,2000-09-27,2001-01-31,143.16,137.02,4.2889,126
LONG,2001-01-31,2001-02-26,137.02,127.62,-6.8603,26
SHORT,2001-02-26,2001-05-02,127.62,126.82,0.6269,65
LONG,2001-05-02,2001-06-22,126.82,122.85,-3.1304,51
SHORT,2001-06-22,2001-11-06,122.85,112.4,8.5063,137
LONG,2001-11-06,2002-01-28,112.4,113.86,1.2989,83
