Date,Portfolio_Value
1993-11-11,10000.0
1993-11-12,10000.0
1993-11-15,10000.0
1993-11-16,10000.0
1993-11-17,10000.0
1993-11-18,10000.0
1993-11-19,10000.0
1993-11-22,10000.0
1993-11-23,10000.0
1993-11-24,10000.0
1993-11-26,10000.0
1993-11-29,10000.0
1993-11-30,10000.0
1993-12-01,10000.0
1993-12-02,10000.0
1993-12-03,10000.0
1993-12-06,10000.0
1993-12-07,10000.0
1993-12-08,10000.0
1993-12-09,10000.0
1993-12-10,10000.0
1993-12-13,10000.0
1993-12-14,10000.0
1993-12-15,10000.0
1993-12-16,10000.0
1993-12-17,10000.0
1993-12-20,10000.0
1993-12-21,10000.0
1993-12-22,10000.0
1993-12-23,10000.0
1993-12-27,10000.0
1993-12-28,10000.0
1993-12-29,10000.0
1993-12-30,10000.0
1993-12-31,10000.0
1994-01-03,10000.0
1994-01-04,10000.0
1994-01-05,10000.0
1994-01-06,10000.0
1994-01-07,10000.0
1994-01-10,10000.0
1994-01-11,10000.0
1994-01-12,10000.0
1994-01-13,10000.0
1994-01-14,10000.0
1994-01-17,10000.0
1994-01-18,10000.0
1994-01-19,10000.0
1994-01-20,10000.0
1994-01-21,10000.0
1994-01-24,10000.0
1994-01-25,10000.0
1994-01-26,10000.0
1994-01-27,10000.0
1994-01-28,10000.0
1994-01-31,10000.0
1994-02-01,10000.0
1994-02-02,10000.0
1994-02-03,10000.0
1994-02-04,10000.0
1994-02-07,10000.0
1994-02-08,10000.0
1994-02-09,10000.0
1994-02-10,10000.0
1994-02-11,10000.0
1994-02-14,10000.0
1994-02-15,10000.0
1994-02-16,10000.0
1994-02-17,10000.0
1994-02-18,10000.0
1994-02-22,10000.0
1994-02-23,10000.0
1994-02-24,10000.0
1994-02-25,10000.0
1994-02-28,10000.0
1994-03-01,10000.0
1994-03-02,10000.0
1994-03-03,10000.0
1994-03-04,10000.0
1994-03-07,10000.0
1994-03-08,10000.0
1994-03-09,10000.0
1994-03-10,10000.0
1994-03-11,10000.0
1994-03-14,10000.0
1994-03-15,10000.0
1994-03-16,10000.0
1994-03-17,10000.0
1994-03-18,10000.0
1994-03-21,10000.0
1994-03-22,10000.0
1994-03-23,10000.0
1994-03-24,10000.0
1994-03-25,10000.0
1994-03-28,10000.0
1994-03-29,10000.0
1994-03-30,10000.0
1994-03-31,10000.0
1994-04-04,10000.0
1994-04-05,10000.0
1994-04-06,10000.0
1994-04-07,10000.0
1994-04-08,10000.0
1994-04-11,10000.0
1994-04-12,10000.0
1994-04-13,10000.0
1994-04-14,10000.0
1994-04-15,10000.0
1994-04-18,10000.0
1994-04-19,10000.0
1994-04-20,10011.27141568981
1994-04-21,9875.709175802338
1994-04-22,9886.704175998068
1994-04-25,9783.120784051587
1994-04-26,9793.9117842546
1994-04-28,9865.2896749084
1994-04-29,9834.563522417027
1994-05-02,9771.311727750783
1994-05-03,9782.077827054167
1994-05-04,9799.3415867313
1994-05-05,9812.335188835254
1994-05-06,9907.874633028381
1994-05-09,9994.222590724046
1994-05-10,9917.621245348795
1994-05-11,10006.36953389778
1994-05-12,9956.67650235246
1994-05-13,9956.67650235246
1994-05-16,9954.440052104854
1994-05-17,9806.90063071727
1994-05-18,9735.285733436083
1994-05-19,9690.373387126296
1994-05-20,9726.39708001524
1994-05-23,9743.475915976636
1994-05-24,9702.77098141121
1994-05-25,9675.151970516017
1994-05-26,9668.81453472747
1994-05-27,9658.26596988487
1994-05-31,9673.001772367257
1994-06-01,9628.659262605259
1994-06-02,9639.120648157852
1994-06-03,9584.603106967488
1994-06-06,9586.67635012279
1994-06-07,9599.121191771588
1994-06-08,9678.143419953416
1994-06-09,9625.292046974204
1994-06-10,9608.563318671839
1994-06-13,9596.0603084979
1994-06-14,9521.237226170431
1994-06-15,9560.11612307506
1994-06-16,9539.485747323926
1994-06-17,9654.518305861853
1994-06-20,9738.690217857162
1994-06-21,9822.201413656727
1994-06-22,9782.99102877187
1994-06-23,9841.338887790393
1994-06-24,10046.913522335348
1994-06-27,9871.331965090723
1994-06-28,9919.774816581243
1994-06-29,9888.643490100154
1994-06-30,9950.516566686256
1994-07-01,9930.378350113244
1994-07-05,9876.89336797619
1994-07-06,9892.326013863652
1994-07-07,9850.306296836285
