Date,Portfolio_Value
1997-04-21,10000.0
1997-04-22,10000.0
1997-04-23,10000.0
1997-04-24,10000.0
1997-04-25,10000.0
1997-04-28,10000.0
1997-04-29,10000.0
1997-04-30,10000.0
1997-05-01,10000.0
1997-05-02,10000.0
1997-05-05,10000.0
1997-05-06,10000.0
1997-05-07,10000.0
1997-05-08,10000.0
1997-05-09,10000.0
1997-05-12,10000.0
1997-05-13,10000.0
1997-05-14,10000.0
1997-05-15,10000.0
1997-05-16,10000.0
1997-05-19,10000.0
1997-05-20,10000.0
1997-05-21,10000.0
1997-05-22,10000.0
1997-05-23,10000.0
1997-05-27,10000.0
1997-05-28,10000.0
1997-05-29,10000.0
1997-05-30,10000.0
1997-06-02,10000.0
1997-06-03,10000.0
1997-06-04,10000.0
1997-06-05,10000.0
1997-06-06,10000.0
1997-06-09,10000.0
1997-06-10,10000.0
1997-06-11,10000.0
1997-06-12,10000.0
1997-06-13,10000.0
1997-06-16,10000.0
1997-06-17,10000.0
1997-06-18,10000.0
1997-06-19,10000.0
1997-06-20,10000.0
1997-06-23,10000.0
1997-06-24,10000.0
1997-06-25,10000.0
1997-06-26,10000.0
1997-06-27,10000.0
1997-06-30,10000.0
1997-07-01,10000.0
1997-07-02,10000.0
1997-07-03,10000.0
1997-07-07,10000.0
1997-07-08,10000.0
1997-07-09,10000.0
1997-07-10,10000.0
1997-07-11,10000.0
1997-07-14,10000.0
1997-07-15,10000.0
1997-07-16,10000.0
1997-07-17,10000.0
1997-07-18,10000.0
1997-07-21,10000.0
1997-07-22,10000.0
1997-07-23,10000.0
1997-07-24,10000.0
1997-07-25,10000.0
1997-07-28,10000.0
1997-07-29,10000.0
1997-07-30,10000.0
1997-07-31,10000.0
1997-08-01,10000.0
1997-08-04,10000.0
1997-08-05,10000.0
1997-08-06,10000.0
1997-08-07,10000.0
1997-08-08,10000.0
1997-08-11,10000.0
1997-08-12,10000.0
1997-08-13,10000.0
1997-08-14,10000.0
1997-08-15,10000.0
1997-08-18,10000.0
1997-08-19,10000.0
1997-08-20,10000.0
1997-08-21,10000.0
1997-08-22,10000.0
1997-08-25,10000.0
1997-08-26,10000.0
1997-08-27,10000.0
1997-08-28,10000.0
1997-08-29,10000.0
1997-09-02,10000.0
1997-09-03,10000.0
1997-09-04,10000.0
1997-09-05,10000.0
1997-09-08,10000.0
1997-09-09,10000.0
1997-09-10,10000.0
1997-09-11,10000.0
1997-09-12,10000.0
1997-09-15,10000.0
1997-09-16,10000.0
1997-09-17,10000.0
1997-09-18,10000.0
1997-09-19,10000.0
1997-09-22,10000.0
1997-09-23,10000.0
1997-09-24,10000.0
1997-09-25,10000.0
1997-09-26,10000.0
1997-09-29,10000.0
1997-09-30,10000.0
1997-10-01,10000.0
1997-10-02,10000.0
1997-10-03,10000.0
1997-10-06,10000.0
1997-10-07,10000.0
1997-10-08,10000.0
1997-10-09,10000.0
1997-10-10,10000.0
1997-10-13,10000.0
1997-10-14,10000.0
1997-10-15,10000.0
1997-10-16,10000.0
1997-10-17,10000.0
1997-10-20,10000.0
1997-10-21,10000.0
1997-10-22,10000.0
1997-10-23,10000.0
1997-10-24,10000.0
1997-10-27,10000.0
1997-10-28,10000.0
1997-10-29,10000.0
1997-10-30,10000.0
1997-10-31,10000.0
1997-11-03,10000.0
1997-11-04,10000.0
1997-11-05,10000.0
1997-11-06,10000.0
1997-11-07,10000.0
1997-11-10,10000.0
1997-11-11,10000.0
1997-11-12,10000.0
1997-11-13,10000.0
1997-11-14,10000.0
1997-11-17,10000.0
1997-11-18,10000.0
1997-11-19,10000.0
1997-11-20,10000.0
1997-11-21,10000.0
1997-11-24,10000.0
1997-11-25,10000.0
1997-11-26,10000.0
1997-11-28,10000.0
1997-12-01,10000.0
1997-12-02,10000.0
1997-12-03,10000.0
1997-12-04,10000.0
1997-12-05,10000.0
1997-12-08,10000.0
1997-12-09,10000.0
1997-12-10,10000.0
1997-12-11,10000.0
1997-12-12,10000.0
1997-12-15,10000.0
1997-12-16,10000.0
1997-12-17,10000.0
1997-12-18,10000.0
1997-12-19,10000.0
1997-12-22,10000.0
1997-12-23,10000.0
1997-12-24,10000.0
1997-12-26,10000.0
1997-12-29,10000.0
1997-12-30,10000.0
1997-12-31,10000.0
1998-01-02,10000.0
1998-01-05,10000.0
1998-01-06,10000.0
1998-01-07,10000.0
1998-01-08,10000.0
1998-01-09,10000.0
1998-01-12,10000.0
1998-01-13,10000.0
1998-01-14,10000.0
1998-01-15,10000.0
1998-01-16,10000.0
1998-01-20,10000.0
1998-01-21,10000.0
1998-01-22,10000.0
1998-01-23,10000.0
1998-01-26,10000.0
1998-01-27,10000.0
1998-01-28,10000.0
1998-01-29,10000.0
1998-01-30,10000.0
1998-02-02,10000.0
1998-02-03,10000.0
1998-02-04,10000.0
1998-02-05,10000.0
1998-02-06,10000.0
1998-02-09,10000.0
1998-02-10,10000.0
1998-02-11,10000.0
1998-02-12,10000.0
1998-02-13,10000.0
1998-02-17,10000.0
1998-02-18,10000.0
1998-02-19,10000.0
1998-02-20,10000.0
1998-02-23,10000.0
1998-02-24,10000.0
1998-02-25,10000.0
1998-02-26,10000.0
1998-02-27,10000.0
1998-03-02,10000.0
1998-03-03,10000.0
1998-03-04,10000.0
1998-03-05,10000.0
1998-03-06,10000.0
1998-03-09,10000.0
1998-03-10,10000.0
1998-03-11,10000.0
1998-03-12,10000.0
1998-03-13,10000.0
1998-03-16,10000.0
1998-03-17,10000.0
1998-03-18,10000.0
1998-03-19,10000.0
1998-03-20,10000.0
1998-03-23,10000.0
1998-03-24,10000.0
1998-03-25,10000.0
1998-03-26,10000.0
1998-03-27,10000.0
1998-03-30,10000.0
1998-03-31,10000.0
1998-04-01,10000.0
1998-04-02,10000.0
1998-04-03,10000.0
1998-04-06,10000.0
1998-04-07,10000.0
1998-04-08,10000.0
1998-04-09,10000.0
1998-04-13,10000.0
1998-04-14,10000.0
1998-04-15,10000.0
1998-04-16,10000.0
1998-04-17,10000.0
1998-04-20,10000.0
1998-04-21,10000.0
1998-04-22,10000.0
1998-04-23,10000.0
1998-04-24,10000.0
1998-04-27,10000.0
1998-04-28,10000.0
1998-04-29,10000.0
1998-04-30,10000.0
1998-05-01,10000.0
1998-05-04,10000.0
1998-05-05,10000.0
1998-05-06,10000.0
1998-05-07,10000.0
1998-05-08,10000.0
1998-05-11,10000.0
1998-05-12,10000.0
1998-05-13,10000.0
1998-05-14,10000.0
1998-05-15,10000.0
1998-05-18,10000.0
1998-05-19,10000.0
1998-05-20,10000.0
1998-05-21,10000.0
1998-05-22,10000.0
1998-05-26,10000.0
1998-05-27,10000.0
1998-05-28,10000.0
1998-05-29,10000.0
1998-06-01,10000.0
1998-06-02,10000.0
1998-06-03,10000.0
1998-06-04,10000.0
1998-06-05,10000.0
1998-06-08,10000.0
1998-06-09,10000.0
1998-06-10,10000.0
1998-06-11,10000.0
1998-06-12,10000.0
1998-06-15,10000.0
1998-06-16,10000.0
1998-06-17,10000.0
1998-06-18,10000.0
1998-06-19,10000.0
1998-06-22,10000.0
1998-06-23,10000.0
1998-06-24,10000.0
1998-06-25,10000.0
1998-06-26,10000.0
1998-06-29,10000.0
1998-06-30,10000.0
1998-07-01,10000.0
1998-07-02,10000.0
1998-07-06,10000.0
1998-07-07,10000.0
1998-07-08,10000.0
1998-07-09,10000.0
1998-07-10,10000.0
1998-07-13,10000.0
1998-07-14,10000.0
1998-07-15,10000.0
1998-07-16,10000.0
1998-07-17,10000.0
1998-07-20,10000.0
1998-07-21,10000.0
1998-07-22,10000.0
1998-07-23,10000.0
1998-07-24,10000.0
1998-07-27,10000.0
1998-07-28,10000.0
1998-07-29,10000.0
1998-07-30,10000.0
1998-07-31,10000.0
1998-08-03,10000.0
1998-08-04,10000.0
1998-08-05,10000.0
1998-08-06,10000.0
1998-08-07,10000.0
1998-08-10,10000.0
1998-08-11,10000.0
1998-08-12,10000.0
1998-08-13,10000.0
1998-08-14,10000.0
1998-08-17,10000.0
1998-08-18,10000.0
1998-08-19,10000.0
1998-08-20,10000.0
1998-08-21,10000.0
1998-08-24,10000.0
1998-08-25,10000.0
1998-08-26,10000.0
1998-08-27,10000.0
1998-08-28,10000.0
1998-08-31,10000.0
1998-09-01,10000.0
1998-09-02,10000.0
1998-09-03,10000.0
1998-09-04,10000.0
1998-09-08,10000.0
1998-09-09,10000.0
1998-09-10,10000.0
1998-09-11,10000.0
1998-09-14,10000.0
1998-09-15,10000.0
1998-09-16,10000.0
1998-09-17,10000.0
1998-09-18,10000.0
1998-09-21,10000.0
1998-09-22,10000.0
1998-09-23,10000.0
1998-09-24,10000.0
1998-09-25,10000.0
1998-09-28,10000.0
1998-09-29,10000.0
1998-09-30,10303.98322851153
1998-10-01,10601.71011491766
1998-10-02,10396.778768702774
1998-10-05,10606.32464738096
1998-10-06,10617.071759193079
1998-10-07,10774.297895397787
1998-10-08,10834.198244038935
1998-10-09,10616.594510801171
1998-10-12,10461.43470063621
1998-10-13,10497.014252483927
1998-10-14,10399.029476263813
1998-10-15,9839.574927073409
1998-10-16,9836.789353346767
1998-10-19,9801.525391514013
1998-10-20,9744.400502035363
1998-10-21,9778.09609255642
1998-10-22,9632.291227254304
1998-10-23,9755.120296683344
1998-10-26,9682.988650910416
1998-10-27,9739.666926949381
1998-10-28,9756.96166261406
1998-10-29,9519.454871837946
1998-10-30,9468.120639369394
1998-11-02,9306.301850260172
1998-11-03,9374.510355061864
1998-11-04,9274.063143441806
1998-11-05,9147.654977655919
1998-11-06,9119.515768285384
1998-11-09,9185.037567374091
1998-11-10,9210.166520210434
1998-11-11,9271.29594401714
1998-11-12,9281.207351707848
1998-11-13,9190.986037043069
1998-11-16,9122.796421505918
1998-11-17,9122.796421505918
1998-11-18,9067.608542049147
1998-11-19,8988.587988305802
1998-11-20,8920.251423038337
1998-11-23,8709.922250326723
1998-11-24,8764.641983010131
1998-11-25,8764.641983010131
1998-11-27,8700.364493966728
1998-11-30,8945.722053336334
1998-12-01,8830.174106380298
1998-12-02,8856.447684015535
1998-12-03,9002.947586019203
1998-12-04,8765.658175047309
1998-12-07,8724.191976550717
1998-12-08,8763.067222452617
1998-12-09,8779.348573596435
1998-12-10,8650.57788727714
1998-12-11,8668.339361252216
1998-12-14,8418.19860276991
1998-12-15,8635.776658964578
1998-12-16,8623.935676314528
1998-12-17,8761.587099621358
1998-12-18,8769.727775193267
1998-12-21,8892.577970187534
1998-12-22,8931.801225215826
1998-12-23,9119.03676336974
1998-12-24,9079.813508341449
1998-12-28,9056.871604456977
1998-12-29,9199.703457673206
1998-12-30,9125.697316110394
1998-12-31,9125.697316110394
1999-01-04,9104.975596472807
1999-01-05,9209.324256076372
1999-01-06,9431.342680764807
1999-01-07,9384.718811580236
1999-01-08,9454.28458464928
1999-01-11,9363.99709194265
1999-01-12,9195.263089179438
1999-01-13,9130.87774601979
1999-01-14,8971.024480244116
1999-01-15,9204.8838875826
1999-01-19,9264.828862248478
1999-01-20,9338.835003811293
1999-01-21,9090.91442957587
1999-01-22,9070.192709938285
1999-01-25,9162.7003868918
1999-01-26,9329.214205408127
1999-01-27,9220.425177310792
1999-01-28,9375.838074592697
1999-01-29,9447.624031908626
1999-02-01,9392.119425736515
1999-02-02,9334.394635317522
1999-02-03,9429.122496517923
1999-02-04,9287.770766132951
1999-02-05,9181.201922282502
1999-02-08,9199.703457673206
1999-02-09,8993.966384128587
1999-02-10,9051.69117454758
1999-02-11,9260.388493754712
1999-02-12,9149.379281410493
1999-02-16,9093.874675238385
1999-02-17,9084.25387683522
1999-02-18,9156.039834151148
1999-02-19,9195.263089179438
1999-02-22,9440.223417752348
1999-02-23,9435.78304925858
1999-02-24,9269.269230742251
1999-02-25,9181.201922282506
1999-02-26,9144.198851501098
1999-03-01,9170.101001048084
1999-03-02,9088.69424532899
1999-03-03,9137.538298760446
1999-03-04,9252.987879598431
1999-03-05,9439.48335633672
1999-03-08,9500.908453833852
1999-03-09,9477.226488533754
1999-03-10,9560.853428499733
1999-03-11,9667.422272350184
1999-03-12,9574.914595396667
1999-03-15,9711.085895872242
1999-03-16,9674.082825090836
1999-03-17,9632.63938581566
1999-03-18,9787.31222168194
1999-03-19,9597.856499281139
1999-03-22,9616.35803467184
1999-03-23,9338.835003811295
1999-03-24,9392.119425736519
1999-03-25,9583.795332384203
1999-03-26,9514.22955931516
1999-03-29,9706.64552737847
1999-03-30,9655.58128970013
1999-03-31,9500.908453833852
1999-04-01,9571.954349734155
1999-04-05,9799.153204331988
1999-04-06,9775.47123903189
1999-04-07,9854.657810504099
1999-04-08,9978.988128329624
1999-04-09,9981.948373992136
1999-04-12,10087.77715642696
1999-04-13,10023.391813267313
1999-04-14,9854.6578105041
1999-04-15,9817.654739722695
1999-04-16,9734.027799756715
1999-04-19,9583.795332384207
1999-04-20,9704.42534313159
1999-04-21,9981.948373992136
1999-04-22,10076.676235192537
1999-04-23,10050.774085645553
1999-04-26,10108.498876064546
1999-04-27,10157.342929496002
1999-04-28,10018.951444773544
1999-04-29,9941.985057548218
1999-04-30,9861.318363244753
1999-05-03,10041.893348658015
1999-05-04,9898.32143402616
1999-05-05,9976.767944082741
1999-05-06,9915.342846585605
1999-05-07,9990.829110979676
1999-05-10,9941.244996132593
1999-05-11,10041.893348658015
1999-05-12,10120.339858714598
1999-05-13,10164.003482236656
1999-05-14,9900.541618273044
1999-05-17,9930.884136313796
1999-05-18,9912.382600923092
1999-05-19,9984.16855823902
1999-05-20,9923.483522157514
1999-05-21,9867.978915985404
1999-05-24,9704.425343131588
1999-05-25,9546.792261602797
1999-05-26,9653.361105453247
1999-05-27,9514.22955931516
1999-05-28,9635.599631478171
1999-06-01,9602.296867774907
1999-06-02,9611.917666178073
1999-06-03,9664.462026687672
1999-06-04,9859.098178997867
1999-06-07,9884.260267129224
1999-06-08,9787.31222168194
1999-06-09,9778.4314846944
1999-06-10,9688.143991987768
1999-06-11,9606.737236268675
1999-06-14,9616.35803467184
1999-06-15,9680.743377831486
1999-06-16,9865.758731738517
1999-06-17,9958.266408692032
1999-06-18,9939.764873301328
1999-06-21,9963.44683860143
1999-06-22,9893.881065532387
1999-06-23,9845.037012100931
1999-06-24,9771.030870538118
1999-06-25,9746.608843822389
1999-06-28,9865.758731738517
1999-06-29,9958.266408692032
1999-06-30,10138.841394105295
1999-07-01,10215.067719914992
1999-07-02,10317.196195271674
1999-07-06,10314.97601102479
1999-07-07,10328.297116506097
1999-07-08,10336.437792078006
1999-07-09,10397.86288957514
1999-07-12,10351.979081806196
1999-07-13,10314.976011024788
1999-07-14,10372.700801443782
1999-07-15,10438.566267434686
1999-07-16,10494.810935022422
1999-07-19,10425.985223369007
1999-07-20,10211.367412836851
1999-07-21,10200.266491602431
1999-07-22,10066.315375373742
1999-07-23,10046.333717151783
1999-07-26,9972.32757558897
1999-07-27,10055.954515554948
1999-07-28,10087.777156426959
1999-07-29,9947.165487457614
1999-07-30,9824.315292463345
1999-08-02,9847.257196347819
1999-08-03,9801.373388578875
1999-08-04,9667.422272350184
1999-08-05,9754.749519394303
1999-08-06,9648.92073695948
1999-08-09,9627.458955906266
1999-08-10,9521.630173471443
1999-08-11,9637.07975430943
1999-08-12,9631.159262984405
1999-08-13,9854.657810504099
1999-08-16,9898.32143402616
1999-08-17,9963.446838601434
1999-08-18,9891.660881285505
1999-08-19,9810.254125566413
1999-08-20,9910.162416676209
1999-08-23,10099.618139077009
1999-08-24,10136.621209858415
1999-08-25,10240.969869461978
1999-08-26,10118.119674467709
1999-08-27,9995.269479473442
1999-08-30,9810.25412556641
1999-08-31,9773.251054785003
1999-09-01,9893.881065532387
1999-09-02,9776.951361863144
1999-09-03,10062.6150682956
1999-09-07,10025.611997514194
1999-09-08,9976.767944082738
1999-09-09,9972.32757558897
1999-09-10,10055.954515554948
1999-09-13,9987.12880390153
1999-09-14,9921.26333791063
1999-09-15,9764.370317797468
1999-09-16,9802.1134499945
1999-09-17,9898.321434026157
1999-09-20,9884.260267129222
1999-09-21,9676.303009337718
1999-09-22,9665.942149518925
1999-09-23,9463.905383052446
1999-09-24,9454.284584649282
1999-09-27,9516.449743562045
1999-09-28,9497.948208171343
1999-09-29,9384.71881158024
1999-09-30,9528.290726212095
1999-10-01,9507.569006574508
1999-10-04,9676.303009337722
1999-10-05,9667.422272350183
1999-10-06,9815.434555475807
1999-10-07,9759.9299493037
1999-10-08,9907.942232429325
1999-10-11,9891.660881285507
1999-10-12,9738.468168250485
1999-10-13,9486.847286936922
1999-10-14,9484.62710269004
1999-10-15,9241.886958364013
1999-10-18,9308.492485770545
1999-10-19,9398.779978477178
1999-10-20,9491.287655430693
1999-10-21,9546.7922616028
1999-10-22,9627.458955906268
1999-10-25,9579.354963890439
1999-10-26,9458.724953143053
1999-10-27,9630.419201568779
1999-10-28,9958.266408692038
1999-10-29,10138.8413941053
1999-11-01,10032.272550254851
1999-11-02,9960.486592938922
1999-11-03,10027.832181761083
1999-11-04,10104.05850757078
1999-11-05,10004.150216460985
1999-11-08,9995.443384244745
1999-11-09,10089.603358154298
1999-11-10,10014.318826879115
1999-11-11,9957.60107575389
1999-11-12,10047.471121563942
1999-11-15,10071.196813657796
1999-11-16,10155.315176536005
1999-11-17,10182.635670462261
1999-11-18,10254.531707110304
1999-11-19,10245.185222346057
1999-11-22,10243.028341246618
1999-11-23,10153.158295436566
1999-11-24,10207.080322922598
1999-11-26,10168.975423499136
1999-11-29,10133.027405175115
1999-11-30,10013.679984339366
1999-12-01,10094.92250575165
1999-12-02,10155.315176536009
1999-12-03,10341.525911454439
1999-12-06,10265.316112607514
1999-12-07,10182.635670462265
1999-12-08,10117.210277112546
1999-12-09,10166.818542399697
1999-12-10,10200.609679624275
1999-12-13,10218.583688786284
1999-12-14,10119.367158211988
1999-12-15,10173.289185698019
1999-12-16,10218.583688786284
1999-12-17,10258.845469309188
1999-12-20,10184.792551561706
1999-12-21,10339.369030355
1999-12-22,10366.689524281253
1999-12-23,10531.331448205272
1999-12-27,10516.952240875666
1999-12-28,10510.481597577342
1999-12-29,10555.057140299128
1999-12-30,10542.834814068961
1999-12-31,10560.089862864492
2000-01-03,10456.55957009131
2000-01-04,10047.471121563949
2000-01-05,10065.445130725959
2000-01-06,9903.679048267863
2000-01-07,10478.847341452205
2000-01-10,10514.795359776226
2000-01-11,10388.977295642153
2000-01-12,10285.44700286897
2000-01-13,10424.92531396617
2000-01-14,10566.560506162816
2000-01-18,10483.161103651086
2000-01-19,10568.717387262257
2000-01-20,10406.951304804163
2000-01-21,10384.663533443269
2000-01-24,10089.889783186294
2000-01-25,10204.92344182316
2000-01-26,10123.680920410874
2000-01-27,10083.41913988797
2000-01-28,9769.233459736022
2000-01-31,10033.810874600818
2000-02-01,10133.027405175117
2000-02-02,10141.65492957288
2000-02-03,10294.793487633211
2000-02-04,10251.655865644387
2000-02-07,10236.557697948296
2000-02-08,10375.31704867902
2000-02-09,10157.472057635452
2000-02-10,10177.602947896907
2000-02-11,9971.261322717024
2000-02-14,10029.49711240194
2000-02-15,10143.092850305846
2000-02-16,9993.549094077916
2000-02-17,9941.783947691327
2000-02-18,9728.25271884664
2000-02-22,9703.808066386306
2000-02-23,9818.122764656693
2000-02-24,9620.408663874578
2000-02-25,9585.898566283517
2000-02-28,9787.207468898032
2000-02-29,9881.391276906968
2000-03-01,9953.28731355501
2000-03-02,9959.757956853337
2000-03-03,10146.687652138247
2000-03-06,10047.471121563949
2000-03-07,9853.351822614235
2000-03-08,9841.129496384066
2000-03-09,10128.713642976238
2000-03-10,10074.791615490203
2000-03-13,9964.07171905222
2000-03-14,9823.155487222055
2000-03-15,10051.784883762832
2000-03-16,10521.266003074548
2000-03-17,10564.403625063373
2000-03-20,10510.481597577342
2000-03-21,10726.169707521469
2000-03-22,10790.876140504708
2000-03-23,10975.648954690176
2000-03-24,11040.355387673415
2000-03-27,10923.883808303584
2000-03-28,10860.615296053309
2000-03-29,10872.118661916995
2000-03-30,10690.221689197446
2000-03-31,10811.725991132636
2000-04-03,10874.275543016434
2000-04-04,10793.751981970625
2000-04-05,10726.169707521465
2000-04-06,10818.91559479744
2000-04-07,10887.935789979561
2000-04-10,10844.798167990737
2000-04-11,10813.88287223208
2000-04-12,10516.952240875664
2000-04-13,10371.003286480136
2000-04-14,9777.860984133786
2000-04-17,10119.367158211988
2000-04-18,10386.820414542706
2000-04-19,10290.479725434327
2000-04-20,10339.369030354997
2000-04-24,10227.211213184051
2000-04-25,10652.116789773982
2000-04-26,10531.33144820527
2000-04-27,10496.821350614211
2000-04-28,10431.395957264493
2000-05-01,10573.031149461136
2000-05-02,10362.375762082369
2000-05-03,10119.367158211988
2000-05-04,10195.576957058915
2000-05-05,10319.238140093546
2000-05-08,10241.59042051366
2000-05-09,10159.628938734893
2000-05-10,9930.999542194117
2000-05-11,10157.47205763545
2000-05-12,10267.472993706955
2000-05-15,10445.056204227618
2000-05-16,10546.429615901357
2000-05-17,10436.428679829853
2000-05-18,10308.453734596336
2000-05-19,10146.68765213824
2000-05-22,10069.758892924836
2000-05-23,9921.653057429869
2000-05-24,10083.419139887963
2000-05-25,9910.149691566181
2000-05-26,9921.653057429869
2000-05-30,10245.185222346057
2000-05-31,10267.47299370695
2000-06-01,10447.213085327056
2000-06-02,10629.110058046605
2000-06-05,10578.063872026492
2000-06-06,10530.612487838784
2000-06-07,10603.227484853305
2000-06-08,10562.24674396392
2000-06-09,10539.240012236549
2000-06-12,10416.297789568396
2000-06-13,10611.136048884591
2000-06-14,10629.110058046603
2000-06-15,10652.116789773976
2000-06-16,10539.24001223655
2000-06-19,10674.404561134868
2000-06-20,10636.299661711406
2000-06-21,10631.985899512523
2000-06-22,10470.219817054429
2000-06-23,10380.349771244377
2000-06-26,10513.357439043257
2000-06-27,10436.42867982985
2000-06-28,10465.187094489065
2000-06-29,10366.689524281248
2000-06-30,10445.056204227614
2000-07-03,10588.848277523699
2000-07-05,10398.323780406387
2000-07-06,10478.847341452196
2000-07-07,10647.084067208616
2000-07-10,10629.110058046606
2000-07-11,10652.11678977398
2000-07-12,10721.85594532258
2000-07-13,10768.58836914381
2000-07-14,10874.275543016432
2000-07-17,10856.301533854423
2000-07-18,10767.869408777331
2000-07-19,10680.875204433198
2000-07-20,10829.700000294644
2000-07-21,10618.325652549398
2000-07-24,10557.214021398562
2000-07-25,10591.005158623142
2000-07-26,10488.193826216439
2000-07-27,10452.245807892417
2000-07-28,10215.707847320358
2000-07-31,10281.133240670077
2000-08-01,10344.401752920356
2000-08-02,10395.447938940468
2000-08-03,10467.34397558851
2000-08-04,10524.141844540465
2000-08-07,10649.959908674538
2000-08-08,10690.221689197444
2000-08-09,10600.351643387392
2000-08-10,10548.5864970008
2000-08-11,10598.19476228795
2000-08-14,10732.640350819791
2000-08-15,10724.012826422024
2000-08-16,10685.907926998561
2000-08-17,10798.065744169508
2000-08-18,10762.117725845486
2000-08-21,10820.353515530398
2000-08-22,10802.379506368388
2000-08-23,10844.798167990735
2000-08-24,10878.589305215313
2000-08-25,10874.275543016429
2000-08-28,10911.661482073412
2000-08-29,10913.818363172853
2000-08-30,10808.85014966671
2000-08-31,10952.642222962797
2000-09-01,10964.14558882648
2000-09-05,10876.43242411587
2000-09-06,10752.771241081236
2000-09-07,10844.79816799073
2000-09-08,10770.745250243246
