Date,Portfolio_Value
2007-06-05,10000.0
2007-06-06,10000.0
2007-06-07,10000.0
2007-06-08,10000.0
2007-06-11,10000.0
2007-06-12,10000.0
2007-06-13,10000.0
2007-06-14,10000.0
2007-06-15,10000.0
2007-06-18,10000.0
2007-06-19,10000.0
2007-06-20,10000.0
2007-06-21,10000.0
2007-06-22,10000.0
2007-06-25,10000.0
2007-06-26,10000.0
2007-06-27,10000.0
2007-06-28,10000.0
2007-06-29,10000.0
2007-07-02,10000.0
2007-07-03,10000.0
2007-07-05,10000.0
2007-07-06,10000.0
2007-07-09,10000.0
2007-07-10,10000.0
2007-07-11,10000.0
2007-07-12,10000.0
2007-07-13,10000.0
2007-07-16,10000.0
2007-07-17,10000.0
2007-07-18,10000.0
2007-07-19,10000.0
2007-07-20,10000.0
2007-07-23,10000.0
2007-07-24,10000.0
2007-07-25,10000.0
2007-07-26,10000.0
2007-07-27,10000.0
2007-07-30,10000.0
2007-07-31,10000.0
2007-08-01,10000.0
2007-08-02,10000.0
2007-08-03,10000.0
2007-08-06,10000.0
2007-08-07,10000.0
2007-08-08,10000.0
2007-08-09,10000.0
2007-08-10,10000.0
2007-08-13,10000.0
2007-08-14,10000.0
2007-08-15,10000.0
2007-08-16,10000.0
2007-08-17,10000.0
2007-08-20,10000.0
2007-08-21,10000.0
2007-08-22,10000.0
2007-08-23,10000.0
2007-08-24,10000.0
2007-08-27,10000.0
2007-08-28,10000.0
2007-08-29,10000.0
2007-08-30,10000.0
2007-08-31,10000.0
2007-09-04,10000.0
2007-09-05,10000.0
2007-09-06,10000.0
2007-09-07,10000.0
2007-09-10,10000.0
2007-09-11,10000.0
2007-09-12,10000.0
2007-09-13,10000.0
2007-09-14,10000.0
2007-09-17,10000.0
2007-09-18,10000.0
2007-09-19,10000.0
2007-09-20,10000.0
2007-09-21,10000.0
2007-09-24,10000.0
2007-09-25,10000.0
2007-09-26,10000.0
2007-09-27,10000.0
2007-09-28,10000.0
2007-10-01,10000.0
2007-10-02,10000.0
2007-10-03,10000.0
2007-10-04,10000.0
2007-10-05,10000.0
2007-10-08,10000.0
2007-10-09,10000.0
2007-10-10,10000.0
2007-10-11,10000.0
2007-10-12,10000.0
2007-10-15,10000.0
2007-10-16,10000.0
2007-10-17,10000.0
2007-10-18,10000.0
2007-10-19,10000.0
2007-10-22,10000.0
2007-10-23,10000.0
2007-10-24,10000.0
2007-10-25,10000.0
2007-10-26,10000.0
2007-10-29,10000.0
2007-10-30,10000.0
2007-10-31,10000.0
2007-11-01,10000.0
2007-11-02,10000.0
2007-11-05,10000.0
2007-11-06,10000.0
2007-11-07,10000.0
2007-11-08,10000.0
2007-11-09,10000.0
2007-11-12,10000.0
2007-11-13,10000.0
2007-11-14,10000.0
2007-11-15,10000.0
2007-11-16,10000.0
2007-11-19,10000.0
2007-11-20,10000.0
2007-11-21,10000.0
2007-11-23,10000.0
2007-11-26,10000.0
2007-11-27,10000.0
2007-11-28,10000.0
2007-11-29,10000.0
2007-11-30,10000.0
2007-12-03,10000.0
2007-12-04,10000.0
2007-12-05,10000.0
2007-12-06,10000.0
2007-12-07,10000.0
2007-12-10,10000.0
2007-12-11,10000.0
2007-12-12,10000.0
2007-12-13,10000.0
2007-12-14,10000.0
